Time_Index,solar_pv_MA,onshore_wind_CT,solar_pv_CT,onshore_wind_ME,solvent_wNGCC_dac_MA,solvent_wNGCC_dac_CT,solvent_wNGCC_dac_ME,sorbent_wNGCC_dac_MA,sorbent_wNGCC_dac_CT,sorbent_wNGCC_dac_ME,sorbent_dac_MA,sorbent_dac_CT,sorbent_dac_ME
1,0,0.569944978,0,0.920104027,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0.623258889,0,0.882233679,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0.694188416,0,0.89507395,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0,0.647399664,0,0.87304908,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0,0.381773531,0,0.831012249,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0,0.244582877,0,0.776541591,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0,0.293396771,0,0.704862773,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0,0.37860319,0,0.64796108,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.1779,0.329338044,0.2003,0.526324749,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
10,0.429,1.52E-05,0.4221,0.079201177,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
11,0.5748,4.55E-05,0.5774,0.02501085,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
12,0.6484,0.00057204,0.6504,0.006543793,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
13,0.6208,0.086801805,0.6166,0.012104483,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
14,0.596,0.341097623,0.6205,0.018969901,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
15,0.5013,0.326572925,0.513,0.034807973,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
16,0.3311,0.38522929,0.3369,0.089363858,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,0.0642,0.25948137,0.1068,0.198931903,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
18,0,0.818314612,0,0.486049294,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
19,0,0.947374165,0,0.695741773,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
20,0,0.884191096,0,0.893018901,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
21,0,0.863175511,0,0.884643197,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22,0,0.935150564,0,0.961134374,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
23,0,0.973402262,0,0.955752611,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
24,0,0.746089995,0,0.952378809,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
25,0,0.433065981,0,0.905306697,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
26,0,0.503579199,0,0.868118405,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
27,0,0.820716262,0,0.810200989,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
28,0,0.861984015,0,0.878156662,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
29,0,0.635637224,0,0.943921924,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
30,0,0.684829473,0,0.907720923,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
31,0,0.745589137,0,0.828339458,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
32,0,0.27747938,0,0.849667013,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
33,0.16,0.655076563,0.1615,0.907849193,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
34,0.3418,0.843971074,0.4263,0.964260221,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
35,0.4952,0.989659667,0.57,0.942756534,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
36,0.5654,0.995543838,0.6482,0.85308063,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
37,0.5713,1,0.6314,0.791825891,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
38,0.5414,1,0.5409,0.882102609,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
39,0.4677,0.998463929,0.4277,0.888284206,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
40,0.3193,0.957467973,0.3402,0.899303496,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
41,0.1003,0.884891868,0.1301,0.918197513,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
