Time_Index,solar_pv_MA,onshore_wind_CT,solar_pv_CT,onshore_wind_ME
1,0,0.569944978,0,0.920104027
2,0,0.623258889,0,0.882233679
3,0,0.694188416,0,0.89507395
4,0,0.647399664,0,0.87304908
5,0,0.381773531,0,0.831012249
6,0,0.244582877,0,0.776541591
7,0,0.293396771,0,0.704862773
8,0,0.37860319,0,0.64796108
9,0.1779,0.329338044,0.2003,0.526324749
10,0.429,1.52E-05,0.4221,0.079201177
11,0.5748,4.55E-05,0.5774,0.02501085
12,0.6484,0.00057204,0.6504,0.006543793
13,0.6208,0.086801805,0.6166,0.012104483
14,0.596,0.341097623,0.6205,0.018969901
15,0.5013,0.326572925,0.513,0.034807973
16,0.3311,0.38522929,0.3369,0.089363858
17,0.0642,0.25948137,0.1068,0.198931903
18,0,0.818314612,0,0.486049294
19,0,0.947374165,0,0.695741773
20,0,0.884191096,0,0.893018901
21,0,0.863175511,0,0.884643197
22,0,0.935150564,0,0.961134374
23,0,0.973402262,0,0.955752611
24,0,0.746089995,0,0.952378809
25,0,0.433065981,0,0.905306697
26,0,0.503579199,0,0.868118405
27,0,0.820716262,0,0.810200989
28,0,0.861984015,0,0.878156662
29,0,0.635637224,0,0.943921924
30,0,0.684829473,0,0.907720923
31,0,0.745589137,0,0.828339458
32,0,0.27747938,0,0.849667013
33,0.16,0.655076563,0.1615,0.907849193
34,0.3418,0.843971074,0.4263,0.964260221
35,0.4952,0.989659667,0.57,0.942756534
36,0.5654,0.995543838,0.6482,0.85308063
37,0.5713,1,0.6314,0.791825891
38,0.5414,1,0.5409,0.882102609
39,0.4677,0.998463929,0.4277,0.888284206
40,0.3193,0.957467973,0.3402,0.899303496
41,0.1003,0.884891868,0.1301,0.918197513
42,0,0.697858751,0,0.785050571
43,0,0.532083452,0,0.849610209
44,0,0.179168805,0,0.890681326
45,0,0.460624933,0,0.895241141
46,0,0.575961411,0,0.842129111
47,0,0.526084423,0,0.778776944
48,0,0.570720732,0,0.798049688
49,0,0.616125405,0,0.865914464
50,0,0.687053382,0,0.807153344
51,0,0.553053379,0,0.573096633
52,0,0.677880645,0,0.476775587
53,0,0.80630821,0,0.574992657
54,0,0.801423192,0,0.604182601
55,0,0.736126423,0,0.744862914
56,0,0.630956411,0,0.792550921
57,0.2147,0.731341124,0.1899,0.87292397
58,0.436,0.992636561,0.4305,0.912224948
59,0.5787,1,0.5707,0.980872095
60,0.632,1,0.6554,0.994781852
61,0.6451,1,0.6621,0.988758683
62,0.6207,1,0.6529,0.998735309
63,0.5504,1,0.5731,0.996199667
64,0.3781,0.999652565,0.4127,0.983224452
65,0.1371,0.945950031,0.1725,0.998122811
66,0,0.987837434,0,0.997993112
67,0,1,0,0.997174382
68,0,0.958051622,0,0.987223804
69,0,1,0,0.981596351
70,0,0.996488094,0,0.992870092
71,0,0.997731447,0,0.954669297
72,0,0.997055888,0,0.9347471
73,0,1,0,0.978952587
74,0,0.999057055,0,0.945270836
75,0,0.964799762,0,0.929749548
76,0,0.929325104,0,0.909057319
77,0,0.906229854,0,0.901528418
78,0,0.809327066,0,0.910134673
79,0,0.651830137,0,0.867187142
80,0,0.48080951,0,0.876390636
81,0.2277,0.378751755,0.2204,0.823099732
82,0.4502,0.383687705,0.4435,0.801250398
83,0.6046,0.43698281,0.5641,0.801717401
84,0.6791,0.027345492,0.6709,0.240071028
85,0.6728,0.000123209,0.6513,0.299450189
86,0.6482,5.38E-05,0.6024,0.186628819
87,0.528,6.64E-05,0.4635,0.105973914
88,0.3343,0.002060085,0.305,0.071392164
89,0.028,5.04E-05,0.0783,0.033698864
90,0,0.097491965,0,0.225880757
91,0,0.291266352,0,0.277302444
92,0,0.210415676,0,0.370590001
93,0,0.223368809,0,0.342927366
94,0,0.409326077,0,0.468558729
95,0,0.685454428,0,0.585748136
96,0,0.560226202,0,0.687084079
97,0,0.414616615,0,0.582934856
98,0,0.492882252,0,0.574557364
99,0,0.543901205,0,0.535381913
100,0,0.584094465,0,0.601786137
101,0,0.575396657,0,0.5711748
102,0,0.222339511,0,0.524353385
103,0,0.063489825,0,0.469980359
104,0,0.034827486,0,0.364646316
105,0.1033,0.0359466,0.1154,0.391142845
106,0.2804,0.168909371,0.2997,0.372059673
107,0.4372,0.119043224,0.4896,0.292032659
108,0.5913,0.057592459,0.5795,0.214939833
109,0.5349,0.084502511,0.5517,0.320211053
110,0.4854,0.249637455,0.4408,0.390997708
111,0.3973,0.350143909,0.4072,0.371668875
112,0.2948,0.742475271,0.3063,0.564464331
113,0.0897,0.870121062,0.1054,0.659781039
114,0,0.958805382,0,0.668345809
115,0,0.799080312,0,0.775924802
116,0,0.399789095,0,0.654665828
117,0,0.343781441,0,0.754780889
118,0,0.002315517,0,0.167690724
119,0,0.094827555,0,0.573313653
120,0,0.031066958,0,0.43366161
121,0,0.097598262,0,0.349793971
122,0,0.058144085,0,0.266512692
123,0,0.142925054,0,0.180226371
124,0,0.373674929,0,0.118735507
125,0,0.434153348,0,0.091907203
126,0,0.435889482,0,0.070327573
127,0,0.563583791,0,0.099923894
128,0,0.845474541,0,0.154476166
129,0.1023,0.694941878,0.139,0.193684876
130,0.2939,0.832901537,0.4082,0.242370129
131,0.5036,0.784772754,0.5689,0.246076912
132,0.62,0.584573805,0.6386,0.237035424
133,0.5947,0.526055634,0.5749,0.226963848
134,0.4261,0.535089731,0.557,0.258899093
135,0.3649,0.20891723,0.3724,0.195579961
136,0.1992,0.3200486,0.1936,0.375185788
137,0.0151,0.762181401,0.0704,0.408885181
138,0,0.967575073,0,0.427647233
139,0,0.947055817,0,0.428736746
140,0,0.922798336,0,0.413813174
141,0,0.981649756,0,0.354275286
142,0,0.987221539,0,0.335782766
143,0,0.972513497,0,0.419259131
144,0,0.921534657,0,0.374869168
145,0,0.942537785,0,0.301030874
146,0,0.942126811,0,0.325035155
147,0,0.740993917,0,0.387509257
148,0,0.56838423,0,0.436268449
149,0,0.254551947,0,0.409830958
150,0,0.088092998,0,0.362387031
151,0,0.153454423,0,0.333725303
152,0,0.125184193,0,0.27631855
153,0.1883,0.232314631,0.1888,0.156356975
154,0.4067,0.527668715,0.418,0.096909747
155,0.5478,0.643087626,0.5584,0.082197607
156,0.6386,0.444231838,0.6543,0.094594836
157,0.6504,0.497035325,0.6701,0.102840483
158,0.6311,0.564896762,0.647,0.105240457
159,0.5093,0.640720606,0.5124,0.067702353
160,0.299,0.400899559,0.316,0.140837073
161,0.0553,0.538941324,0.1148,0.161545038
162,0,0.923362017,0,0.168319955
163,0,0.840292275,0,0.248747885
164,0,0.243614614,0,0.357263148
165,0,0.643543959,0,0.407699734
166,0,0.796087563,0,0.559159398
167,0,0.903208315,0,0.730784357
168,0,0.935438216,0,0.753751397
169,0,0.997932076,0,0.818970919
170,0,0.982208312,0,0.724056244
171,0,0.986259937,0,0.717351198
172,0,0.994179308,0,0.723726153
173,0,0.966724813,0,0.723625481
174,0,0.938414276,0,0.731772125
175,0,0.819656253,0,0.790290594
176,0,0.804335475,0,0.554285526
177,0.2056,0.796525359,0.1964,0.616902471
178,0.4097,0.6475963,0.35,0.659731388
179,0.5584,0.803939998,0.4004,0.512989461
180,0.4656,0.813347638,0.5397,0.467998236
181,0.5802,0.786184669,0.5759,0.373288602
182,0.5964,0.809754848,0.508,0.438009381
183,0.5111,0.920710862,0.4839,0.587767482
184,0.3605,0.424674869,0.3378,0.65806514
185,0.1202,0.673590124,0.1348,0.666335702
186,0,0.722590208,0,0.702498555
187,0,0.807032704,0,0.735339999
188,0,0.794338346,0,0.639792442
189,0,0.920866907,0,0.592087984
190,0,0.775906444,0,0.523823261
191,0,0.790116549,0,0.516953051
192,0,0.313982964,0,0.425170183
193,0,0.228863105,0,0.42695722
194,0,0.186610132,0,0.299720883
195,0,0.168072969,0,0.244982213
196,0,0.099481188,0,0.266644388
197,0,0.07131198,0,0.336548865
198,0,0.141474232,0,0.403077483
199,0,0.174716681,0,0.409066558
200,0,0.109989181,0,0.39652282
201,0.1584,0.090794012,0.1776,0.398093283
202,0.3603,0.030788897,0.3604,0.361599565
203,0.4586,0.016659057,0.4766,0.296996891
204,0.4847,0.026496863,0.5273,0.182485133
205,0.5907,0.016100235,0.6539,0.123761773
206,0.7654,0.063318081,0.7914,0.1468952
207,0.5757,0.212307662,0.5949,0.240729049
208,0.4019,0.184758514,0.4277,0.319725215
209,0.1541,0.409239978,0.1815,0.499451488
210,0,0.85537678,0,0.735057831
211,0,0.717418909,0,0.768220544
212,0,0.363580614,0,0.875060856
213,0,0.317670733,0,0.820344567
214,0,0.271577805,0,0.910065353
215,0,0.311569244,0,0.957307518
216,0,0.221334517,0,0.946516454
217,0,0.171090662,0,0.934381068
218,0,0.079606064,0,0.913996696
219,0,0.189559758,0,0.945908904
220,0,0.259287894,0,0.926405728
221,0,0.127237305,0,0.849615216
222,0,0.17743887,0,0.885867298
223,0,0.27053991,0,0.903562665
224,0,0.18752566,0,0.900292158
225,0.1709,0.695573568,0.1778,0.789421737
226,0.3428,0.131348357,0.3614,0.802557707
227,0.4545,0.239212155,0.4885,0.730632544
228,0.5223,0.310001045,0.5863,0.699638247
229,0.5971,0.416327089,0.5876,0.509494543
230,0.6098,0.421913445,0.5302,0.48682785
231,0.5176,0.579014182,0.4279,0.620525122
232,0.3503,0.643352985,0.2873,0.686781466
233,0.1105,0.790205538,0.1142,0.834916592
234,0,0.734749496,0,0.961258769
235,0,0.901278973,0,0.985307395
236,0,0.443615586,0,0.975257516
237,0,0.563726008,0,0.99187088
238,0,0.776801109,0,0.995504022
239,0,0.593942106,0,0.938395023
240,0,0.759970427,0,0.930854142
